depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
0,,,,,,,0.0
1,,,,,,,0.0309
2,,,,,,,0.0618
3,,,,,,,0.0927
4,,,,,,,0.1236
5,,,,,,,0.1545
6,,,,,,,0.1854
7,,,,,,,0.2163
8,,,,,,,0.2472
9,,,,,,,0.2781
10,,,,,,,0.309
11,,,,,,,0.3399
12,,,,,,,0.3708
13,,,,,,,0.4017
14,,,,,,,0.4326
15,,,,,,,0.4635
16,,,,,,,0.4944
17,,,,,,,0.5253
18,,,,,,,0.5562
19,,,,,,,0.5871
20,,,,,,,0.618
21,,,,,,,0.6489
22,,,,,,,0.6798
23,,,,,,,0.7107
24,,,,,,,0.7416
25,,,,,,,0.7725
26,,,,,,,0.8034
27,,,,,,,0.8343
28,,,,,,,0.8652
29,,,,,,,0.8961
30,,,,,,,0.927
31,,,,,,,0.9579
32,,,,,,,0.9888
33,,,,,,,1.0197
34,,,,,,,1.0506
35,,,,,,,1.0815
36,,,,,,,1.1124
37,,,,,,,1.1433
38,,,,,,,1.1742
39,,,,,,,1.2051
40,,,,,,,1.236
41,,,,,,,1.2669
42,,,,,,,1.2978
43,,,,,,,1.3287
44,,,,,,,1.3596
45,,,,,,,1.3905
46,,,,,,,1.4214
47,,,,,,,1.4523
48,,,,,,,1.4832
49,,,,,,,1.5141
50,,,,,,,1.545
51,,,,,,,1.5759
52,,,,,,,1.6068
53,,,,,,,1.6377
54,,,,,,,1.6686
55,,,,,,,1.6995
56,,,,,,,1.7304
57,,,,,,,1.7613
58,,,,,,,1.7922
59,,,,,,,1.8231
60,,,,,,,1.854
61,,,,,,,1.8849
62,,,,,,,1.9158
63,,,,,,,1.9467
64,,,,,,,1.9776
65,,,,,,,2.0085
66,,,,,,,2.0394
67,,,,,,,2.0703
68,,,,,,,2.1012
69,,,,,,,2.1321
70,,,,,,,2.163
71,,,,,,,2.1939
72,,,,,,,2.2248
73,,,,,,,2.2557
74,,,,,,,2.2866
75,,,,,,,2.3175
76,,,,,,,2.3484
77,,,,,,,2.3793
78,,,,,,,2.4102
79,0.0373392,1.00302,1.00285,0.994362,0.99882,0.99092,2.4411
80,0.0367436,1.00433,1.00856,1.00086,0.997765,0.995313,2.472
81,0.0361213,1.00258,1.00833,1.00569,0.999475,0.996617,2.5029
82,0.0354905,1.00315,1.00878,1.01127,0.999616,0.998277,2.5338
83,0.0352044,1.00366,1.00978,1.01683,0.99986,0.99918,2.5647
84,0.035367,1.00454,1.00881,1.02245,1.00125,0.999374,2.5956
85,0.0358304,1.00507,1.00787,1.02887,1.00119,0.998713,2.6265
86,0.0364662,1.00538,1.0085,1.0353,1.00098,0.99772,2.6574
87,0.0372752,1.00468,1.00927,1.03985,1.00154,0.996733,2.6883
88,0.0380793,1.00382,1.01085,1.0442,1.00264,0.99614,2.7192
89,0.0388205,1.00436,1.01177,1.04847,1.00304,0.995139,2.7501
90,0.0395043,1.00386,1.01354,1.05222,1.00292,0.994742,2.781
91,0.0402465,1.0029,1.01535,1.05392,1.00303,0.993804,2.8119
92,0.0411073,1.00413,1.01734,1.05564,1.00228,0.992887,2.8428
93,0.042075,1.00539,1.01891,1.05513,1.00183,0.992076,2.8737
94,0.0429456,1.00634,1.01909,1.05284,1.00163,0.991205,2.9046
95,0.0437139,1.00821,1.01986,1.05008,1.00108,0.990589,2.9355
96,0.0443968,1.01017,1.02044,1.04645,1.00119,0.989908,2.9664
97,0.0449128,1.01122,1.02091,1.0429,1.00133,0.989726,2.9973
98,0.0453439,1.01045,1.02242,1.03892,1.00116,0.990047,3.0282
99,0.045744,1.01113,1.02196,1.03567,1.00144,0.990607,3.0591
100,0.0461796,1.01134,1.02228,1.03216,1.00114,0.990191,3.09
101,0.0465337,1.01127,1.02265,1.02795,1.00064,0.990055,3.1209
102,0.0469045,1.01098,1.02312,1.02578,0.99988,0.990143,3.1518
103,0.0473483,1.0109,1.02334,1.0254,0.998972,0.990574,3.1827
104,0.0479941,1.00977,1.02227,1.02515,0.998927,0.990463,3.2136
105,0.0487123,1.00976,1.02207,1.02468,0.998477,0.990471,3.2445
106,0.0495504,1.00982,1.0213,1.02454,0.998972,0.990344,3.2754
107,0.0504785,1.00928,1.02045,1.0238,0.9994,0.991193,3.3063
108,0.051461,1.00962,1.01971,1.0239,1.00017,0.991024,3.3372
109,0.0524503,1.00814,1.01918,1.02442,1.0002,0.990815,3.3681
110,0.0533316,1.00584,1.01869,1.025,1.00086,0.990231,3.399
111,0.054158,1.00507,1.01843,1.02552,1.00136,0.990138,3.4299
112,0.0547775,1.00376,1.01838,1.02728,1.0011,0.990196,3.4608
113,0.055285,1.00319,1.01751,1.0288,1.00127,0.990303,3.4917
114,0.0555706,1.00248,1.01807,1.03064,1.00143,0.991126,3.5226
115,0.055693,1.00307,1.01871,1.03146,1.00108,0.99158,3.5535
116,0.0555878,1.00324,1.02007,1.03358,1.00013,0.992783,3.5844
117,0.0550626,1.00332,1.02124,1.036,0.999817,0.99386,3.6153
118,0.054133,1.00297,1.02159,1.03821,0.999418,0.995441,3.6462
119,0.0530098,1.00344,1.02161,1.03983,0.99942,0.99708,3.6771
