depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
0,,,,,,,0.0
1,,,,,,,0.031
2,,,,,,,0.062
3,,,,,,,0.093
4,,,,,,,0.124
5,,,,,,,0.155
6,,,,,,,0.186
7,,,,,,,0.217
8,,,,,,,0.248
9,,,,,,,0.279
10,,,,,,,0.31
11,,,,,,,0.341
12,,,,,,,0.372
13,,,,,,,0.403
14,,,,,,,0.434
15,,,,,,,0.465
16,,,,,,,0.496
17,,,,,,,0.527
18,,,,,,,0.558
19,,,,,,,0.589
20,,,,,,,0.62
21,,,,,,,0.651
22,,,,,,,0.682
23,,,,,,,0.713
24,,,,,,,0.744
25,,,,,,,0.775
26,,,,,,,0.806
27,,,,,,,0.837
28,,,,,,,0.868
29,,,,,,,0.899
30,,,,,,,0.93
31,,,,,,,0.961
32,0.115612,0.997689,1.00545,1.00293,1.00245,0.987497,0.992
33,0.113953,0.997074,1.00419,1.00366,1.00207,0.987699,1.023
34,0.112159,0.997845,1.0035,1.00367,1.00221,0.987462,1.054
35,0.110659,0.999036,1.00334,1.00372,1.00196,0.987368,1.085
36,0.109499,0.999297,1.00271,1.00345,1.00131,0.987524,1.116
37,0.10874,0.999813,1.00227,1.00296,1.00088,0.987364,1.147
38,0.108038,0.999955,1.00195,1.00209,1.00055,0.987374,1.178
39,0.107487,0.999855,1.00124,1.00118,1.0004,0.987359,1.209
40,0.106981,1.00003,1.00056,1.00038,1.00026,0.987479,1.24
41,0.106579,1.00001,0.999381,0.999704,1.00033,0.98746,1.271
42,0.106286,0.999903,0.99845,0.999479,1.00041,0.987688,1.302
43,0.106113,1.00028,0.99765,0.999147,1.00008,0.987712,1.333
44,0.106042,1.00006,0.997053,0.998732,1.00016,0.987951,1.364
45,0.106029,1.00067,0.996558,0.998092,0.999865,0.988115,1.395
46,0.106009,1.00047,0.99562,0.997495,0.999919,0.988302,1.426
47,0.105834,1.00019,0.99565,0.997426,1.00007,0.988472,1.457
48,0.105528,0.999571,0.995899,0.997887,0.999894,0.98851,1.488
49,0.105083,0.999628,0.996255,0.998995,0.999822,0.988176,1.519
50,0.104631,0.998962,0.996746,0.999914,0.999728,0.988,1.55
51,0.104197,0.998766,0.997731,1.00118,1.00012,0.987605,1.581
52,0.103855,0.998709,0.998286,1.00204,1.00037,0.987495,1.612
53,0.103724,0.998077,0.998752,1.00288,1.00069,0.987248,1.643
54,0.103551,0.998594,0.999532,1.00369,1.00095,0.98748,1.674
55,0.103434,0.998796,1.00061,1.00449,1.00125,0.987339,1.705
56,0.103317,0.998618,1.00119,1.00515,1.00166,0.986885,1.736
57,0.103178,0.998844,1.002,1.00608,1.00157,0.986509,1.767
58,0.103083,0.999294,1.00232,1.00629,1.00159,0.986376,1.798
59,0.102992,0.999174,1.00301,1.00645,1.00168,0.986571,1.829
60,0.102873,0.999117,1.00349,1.00621,1.0017,0.987037,1.86
61,0.10275,0.999265,1.0038,1.00593,1.00131,0.986941,1.891
62,0.102615,0.998973,1.00384,1.00526,1.00117,0.98722,1.922
63,0.102568,0.99859,1.00305,1.00456,1.00068,0.987292,1.953
64,0.102556,0.999081,1.0023,1.00397,1.00026,0.987267,1.984
