depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
0,0.0784378,0.996081,0.994287,1.00298,0.995604,0.995494,0.0
1,0.0814454,0.996956,0.993991,1.00162,0.996861,0.995228,0.0357
2,0.0841085,0.99763,0.993967,1.00054,0.997826,0.994872,0.0714
3,0.0864492,0.998129,0.99418,0.999737,0.998526,0.994439,0.1071
4,0.0884898,0.998475,0.994597,0.999168,0.998986,0.993946,0.1428
5,0.0902525,0.99869,0.995183,0.998813,0.999233,0.993406,0.1785
6,0.0917593,0.998798,0.995902,0.998647,0.999295,0.992835,0.2142
7,0.0930324,0.998822,0.996722,0.998645,0.999196,0.992249,0.2499
8,0.094094,0.998786,0.997607,0.998782,0.998964,0.991661,0.2856
9,0.0949664,0.998711,0.998524,0.999033,0.998624,0.991088,0.3213
10,0.0956715,0.998622,0.999437,0.999373,0.998205,0.990544,0.357
11,0.0962317,0.998541,1.00031,0.999778,0.997731,0.990045,0.3927
12,0.096669,0.998491,1.00112,1.00022,0.997229,0.989604,0.4284
13,0.0971144,0.998419,1.00176,1.00072,0.996981,0.989333,0.4641
14,0.0974216,0.999643,1.00249,1.00105,0.996605,0.989587,0.4998
15,0.0976951,1.00038,1.00235,1.00166,0.996576,0.989735,0.5355
16,0.0980928,1.00033,1.0021,1.00175,0.996114,0.989413,0.5712
17,0.0986488,1.00051,1.00108,1.00133,0.996076,0.989739,0.6069
18,0.0993363,1.00068,1.00043,1.001,0.995943,0.990226,0.6426
19,0.100125,1.00159,0.999364,1.00088,0.995974,0.989908,0.6783
20,0.100868,1.00266,0.998766,1.00083,0.996554,0.989943,0.714
21,0.101511,1.0028,0.998717,1.00039,0.996492,0.989773,0.7497
22,0.102123,1.00303,0.997974,0.99995,0.996776,0.990262,0.7854
23,0.10272,1.00269,0.997747,1.00001,0.996808,0.990852,0.8211
24,0.103249,1.00251,0.997776,1.0004,0.996943,0.991714,0.8568
25,0.103618,1.0029,0.99791,1.00081,0.997291,0.992402,0.8925
26,0.10387,1.00275,0.997941,1.00081,0.997714,0.992365,0.9282
27,0.103976,1.00169,0.997778,1.00044,0.998324,0.992718,0.9639
28,0.104032,1.00121,0.997866,1.00034,0.998459,0.993355,0.9996
29,0.104022,1.00042,0.997795,0.999609,0.999184,0.993388,1.0353
30,0.103943,0.999463,0.997971,0.99922,0.999584,0.994043,1.071
31,0.103696,0.998609,0.998073,0.999145,1.00023,0.994351,1.1067
32,0.103307,0.998707,0.998724,0.999266,1.00025,0.994625,1.1424
33,0.10263,0.997817,0.999528,0.999324,1.00052,0.994679,1.1781
34,0.101953,0.997571,0.999659,0.999618,1.00044,0.99471,1.2138
35,0.101364,0.997881,1.0002,0.999803,1.00059,0.995016,1.2495
36,0.101103,0.997273,1.00067,1.00012,1.00068,0.994887,1.2852
37,0.101202,0.99794,1.00131,1.00003,1.00066,0.994812,1.3209
38,0.10171,0.998246,1.00152,0.999829,1.00104,0.994981,1.3566
39,0.102651,0.998207,1.00131,0.999667,1.00126,0.994422,1.3923
40,0.103884,0.998387,1.00059,0.999448,1.00114,0.993633,1.428
41,0.105252,0.998835,1.00061,0.99906,1.0008,0.99354,1.4637
42,0.106597,0.998882,1.00084,0.998688,1.00062,0.992689,1.4994
